,author,books
81,Adrian Wootton,"[35826, 35827]"
82,Adrienne Theimer,[17122]
83,Adrián Ferrero,[20001]
84,Adèle Geras,"[9171, 9171]"
85,Adèle Lang,[33723]
86,Aeon J. Skoble,"[31813, 31898]"
87,Aeschylus,"[1516, 1517, 1518, 1519, 1521, 1523, 1525, 1526, 1527, 1530, 1531, 1532, 1533, 3258, 27295, 37043]"
88,Aesop,"[20781, 21348]"
89,Agatha Christie,"[16297, 16298, 16299, 16300, 16301, 16303, 16304, 16305, 16306, 16307, 16308, 16312, 16313, 16314, 16315, 16316, 16319, 16320, 16322, 16325, 16326, 16328, 16329, 16330, 16331, 16332, 16333, 16334, 16335, 16336, 16338, 16339, 16340, 16341, 16342, 16343, 16344, 16346, 16347, 16349, 16352, 16356, 16357, 16360, 16361, 16362, 16363, 16364, 16366, 16368, 16369, 16371, 16372, 16422, 16424, 16425, 16426, 16427, 16428, 16464, 19784, 22159, 22160, 31299, 31300, 31301, 31302, 31303, 31304, 31305, 31306, 31307, 31308, 31309, 31318, 31319, 31322, 33400, 37562, 37563, 37573, 37574, 37575, 37582, 39954]"
90,Agnes D. Kingston,[32835]
91,Agnes Danforth Hewes,[17789]
92,Agnolo di Cosimo Bronzino,[10505]
93,Agustín Gervás,[6720]
94,Ai Morinaga,[22861]
95,Ai Yazawa,[16012]
96,Aidan Hartley,[4337]
97,Aimee Bender,"[7850, 46204, 46205, 46206, 46207]"
98,Aimee Friedman,[38892]
99,Aimé Césaire,"[32649, 33153]"
100,Aine Greaney,[10895]
101,Aisha D. Gayle,[38277]
102,Akhil   Sharma,[4140]
103,Aki Shimizu,[33986]
104,Akihiro Yamada,[13737]
105,Akira Toriyama,[3936]
106,Akira Watanabe,"[866, 868, 869, 870, 871, 873, 9325, 9326, 23504, 23506, 26422, 26426, 44734]"
107,Akira Yoshida,[33488]
108,Al Franken,"[23576, 23577, 23581, 23582, 23584]"
109,Al Gore,[8714]
110,Al Ries,"[2595, 33447, 33448, 33449]"
111,Al Rio,[10966]
112,Al Switzler,[15014]
113,Alafair Burke,[22265]
114,Alain Defossé,[23964]
115,Alain Korkos,[15701]
116,Alain de Botton,"[23418, 23419, 23420, 23421, 23423, 23425, 23426, 23427]"
117,Alak Zenkar,[19445]
118,Alan  Lee,"[35, 15294, 15318, 15381, 23591, 23653, 25790]"
119,Alan Aldridge,[35558]
120,Alan Brennert,[3273]
121,Alan Cohen,[34909]
122,Alan Dean Foster,"[19605, 20929, 23391, 23392, 23393, 23397, 23398, 35112, 35115, 35116, 35120, 35124, 35125, 35126, 35128, 35130, 35134, 35136, 35138, 35148, 35149, 35151, 35159, 35163, 35165, 35166, 35168, 35177, 35178, 35180, 35183, 35199, 35204, 44328]"
123,Alan Duff,[40509]
124,Alan Durband,"[6823, 8853, 12975]"
125,Alan Ereira,[20645]
126,Alan Greenspan,[669]
127,Alan Gregg,[47380]
128,Alan H. Sommerstein,"[1567, 1573, 1592]"
129,Alan Hausman,[31868]
130,Alan Hollinghurst,"[27629, 30104, 30106, 30107, 30109]"
131,Alan Jay Lerner,[7707]
132,Alan Jolis,[27533]
133,Alan Judd,[33464]
134,Alan Langford,[24647]
135,Alan Lightman,"[2100, 14376, 16798, 16799]"
136,Alan MacGillivray,[12019]
137,Alan Moore,"[5805, 5812, 23529, 23539, 41179]"
138,Alan Myers,[12505]
139,Alan Paton,"[5214, 6150, 12488, 17101]"
140,Alan R. Clarke,"[864, 865, 872, 1424, 1425, 1428, 4004, 4006]"
141,Alan Rosenus,[23984]
142,Alan Shapiro,[1518]
143,Alan Witschonke,[34187]
144,Alastair Hannay,"[24965, 24970]"
145,Alastair McEwen,[10505]
146,Alastair Reid,[5931]
147,Alastair Westgarth,[41473]
148,Albert Camus,"[11988, 11990, 11991, 11993, 11994, 11995, 15680, 15682, 15683, 15686, 15688, 15690, 15691, 15692, 15698, 15704, 15707, 15708, 15714, 17116, 27769, 27776, 27779, 27780, 37506, 41307, 45821]"
149,Albert Demeo,[22239]
150,Albert Einstein,"[15852, 15855, 17297, 22436, 32610]"
151,Albert Ellis,[22677]
152,Albert G. Spalding,[31253]
153,Albert Hackett,[5513]
154,Albert Hofstadter,[18282]
155,Albert Hunt,[38762]
156,Albert J. Rivero,[38263]
157,Albert Jack,[22460]
158,Albert Lee Strickland,[2228]
159,Albert Marrin,[9826]
160,Albert Speer,[23870]
161,Albert Uderzo,"[46578, 46579]"
162,Alberto Coscarelli,[27299]
163,Alberto Manguel,[44038]
164,Albus Dumbledore,[41899]
165,Alcoholics Anonymous,"[3053, 3055]"
166,Aldon D. Morris,[22493]
167,Aldous Huxley,"[5128, 5129, 5130, 5131, 5132, 5134, 5135, 5136, 5479, 5480, 5481, 5485, 30561, 30562, 30569, 38762, 39889]"
168,Alec Effinger,[21624]
169,Alec Kalla,[20489]
170,Alec MacLellan,[17075]
171,Alec Sillifant,[37010]
172,Alejandro Casona,[30999]
173,Alejandro Lopez Rousseau,[24114]
174,Aleksandar Hemon,"[3072, 29705]"
175,Aleksandr Kuprin,[44446]
176,Aleksandr Solzhenitsyn,"[17125, 30580]"
177,Aleksey Ivanov,[24183]
178,Alessandra Petrelli,[15953]
179,Alethea Nibley,"[46906, 46908, 46911]"
180,Alev Lytle Croutier,[41684]
181,Alex Antunes,[14775]
182,Alex Austin,[14551]
183,Alex C. Jones,[848]
184,Alex Callinicos,[29401]
185,Alex Constantine,[39124]
186,Alex Eisenstein,[4012]
187,Alex Garland,"[8761, 8763, 8764]"
188,Alex Gaskarth,[2144]
189,Alex Kava,[33672]
190,Alex Kerr,[42676]
191,Alex Kershaw,[37678]
192,Alex Kotlowitz,[41918]
193,Alex Prud'Homme,[5084]
194,Alex Ross,"[16982, 16986, 16992, 23524]"
195,Alex Went,[8860]
196,Alexander  Walker,[15066]
197,Alexander C. Irvine,[15650]
198,Alexander Frater,[37614]
199,Alexander Heidel,[19354]
200,Alexander Hunter,[45564]
201,Alexander Martin,[22611]
202,Alexander McCall Smith,"[7034, 7035, 7036, 7037, 7039, 7041, 7052, 7053, 7054, 7055, 7058, 7059, 7061, 15894, 15900, 15901, 15902, 15904, 15905, 16199, 28184]"
203,Alexander Nehamas,[9462]
204,Alexander O. Smith,"[13737, 26425]"
205,Alexander Payne,"[15783, 15786]"
206,Alexander Pope,"[44865, 44866, 44871]"
207,Alexander Pushkin,"[27822, 27823, 27825, 27826, 27827, 27828, 27829, 27831, 28344, 44446]"
208,Alexander Scourby,[4675]
209,Alexander Theroux,[32650]
210,Alexandra Boiger,"[25051, 25052, 25053]"
211,Alexandra Ivy,[20775]
212,Alexandra Moss,"[9149, 9151, 9155]"
213,Alexandra Robbins,"[25150, 25576]"
214,Alexandra Siy,[38547]
215,Alexandra Wallner,[28158]
216,Alexandre Dumas,"[7126, 7127, 7131, 7182, 7188, 7197, 10559, 10561, 10562, 10563, 34992, 46524, 46524, 46528]"
217,Alexandre Dumas fils,[7186]
218,Alexandre Hubner,[41771]
219,Alexandre Koyré,[29904]
220,Alexis Kirsch,"[13616, 13617, 13620, 13621]"
221,Alexis de Tocqueville,"[16618, 16619, 16621, 25777, 25779]"
222,Alf Hiltebeitel,[28021]
223,Alfred Appel,[7606]
224,Alfred Bester,"[6437, 18196, 41117]"
225,Alfred Birnbaum,"[9556, 11298, 17801, 45310]"
226,Alfred C. Kinsey,[47380]
227,Alfred D. Chandler Jr.,[29993]
228,Alfred David,"[47163, 47168, 47174]"
229,Alfred Gough,[8172]
230,Alfred Hitchcock,"[15073, 15085]"
231,Alfred Huang,[34200]
232,Alfred J. Church,[25688]
233,Alfred J. Mac Adam,[40029]
234,Alfred Kazin,[46950]
235,Alfred Lubrano,[46074]
236,Alfred MacAdam,[12764]
237,Alfred Siewers,[23637]
238,Alfred Uhry,[18758]
239,Alfredo Crespo,"[4381, 37683]"
240,Algernon Blackwood,[23797]
241,Algis Budrys,[41119]
242,Ali Douglass,[21091]
243,Ali Vali,[22602]
244,Alice  Miller,"[4887, 4888, 29561]"
245,Alice Dalgliesh,"[33614, 37024]"
246,Alice Hoffman,"[5159, 12703, 22889, 22892, 22893, 22896, 22898, 40806]"
247,Alice Hudson,[29845]
248,Alice Kaplan,[12793]
249,Alice Leccese Powers,[46130]
250,Alice Mayhew,[27507]
251,Alice Medrich,"[39902, 39904, 39905, 39906]"
252,Alice Munro,"[4140, 9815, 9816, 14279, 14280, 14281, 14282, 14283, 14284, 14285, 14286, 31659, 31662]"
253,Alice Randall,[18412]
254,Alice Sebold,"[537, 538, 15806, 27092, 27095, 46206]"
255,Alice Walker,"[11486, 38069, 40969]"
256,Alice Wong,[37424]
257,Alicia Suskin Ostriker,[23912]
258,Alis Friis Caspersen,[2977]
259,Alisa Freedman,[14026]
260,Alisa Klayman,[36853]
261,Alisa Kwitney,[47697]
262,Alisa Valdes,[33723]
263,Alison Anderson,[1902]
264,Alison Baverstock,[45325]
265,Alison Bechdel,[38990]
266,Alison Boardman,[26451]
267,Alison Goodman,[44328]
268,Alison Kent,[39913]
269,Alison Leslie Gold,[5509]
270,Alison Lurie,[3006]
271,Alison Pace,[37750]
272,Alison Weir,"[10080, 10104, 10106, 10109]"
273,Alistair Horne,[18242]
274,Alistair MacLeod,[14271]
275,Alistair McCallum,[18591]
276,Alistair Moffat,[42341]
277,Alister E. McGrath,"[23003, 23009, 23011]"
278,Alix Strachey,[16248]
279,Aljean Harmetz,[33876]
280,Allan Bloom,"[30290, 30296]"
281,Allan C. Weisbecker,[10853]
282,Allan Cameron,[43101]
283,Allan Curless,[8001]
284,Allan Drummond,[12157]
285,Allan Janik,[12080]
286,Allan Kozinn,[35669]
287,Allan Rosenberg,[26841]
288,Allan Ulrich,[9203]
289,Allan Zola Kronzek,[41903]
290,Allegra Goodman,"[28935, 28948]"
291,Allen,[20258]
292,Allen Carr,[6618]
293,Allen Ginsberg,"[6295, 6298, 23940, 47180]"
294,Allen J. Frantzen,[33581]
295,Allen Mackey,[36507]
296,Allen Mandelbaum,"[1713, 6656, 19163, 19171]"
297,Allen Noren,[41793]
298,Allen Rogers Benner,[32964]
299,Allen W. Wood,"[18288, 25248]"
300,Allison Markin Powell,[25814]
301,Allison Pearson,"[39045, 39046]"
302,Alma Flor Ada,"[5027, 35835, 46196]"
303,Alma MacDougall Reising,[41760]
304,Alonzo C. Addison,[7277]
305,Alton Raible,[2315]
306,Alvin L. Reid,[29694]
307,Alvin Schwartz,"[24426, 24427]"
308,Alyson MacNeill,[4967]
309,Alyssa  Harad,"[16076, 17152]"
310,Amanda Ann Klein,[22265]
311,Amanda Clark,[3545]
312,Amanda Claybaugh,[46791]
313,Amanda Eyre Ward,[43409]
314,Amanda Hemingway,[10792]
315,Amanda Holzer,[46610]
316,Amanda Hopkinson,"[1645, 4008]"
317,Amanda Root,"[7010, 12964]"
318,Amartya Sen,"[10232, 10310, 10311, 25409, 25410]"
319,Ambrose Bierce,[23797]
320,Amelia Atwater,"[30331, 30333, 30334, 30335, 30336, 30337]"
321,America's Test Kitchen,[6302]
322,American Academy of Pediatrics,[4966]
323,American Psychological Association,"[47435, 47455]"
324,Amiira Ruotola (,[33353]
325,Amir D. Aczel,[17845]
326,Amiri Baraka,[31253]
327,Amitav Ghosh,[4950]
328,Amos Oz,"[27574, 27575, 45692]"
329,Amy Berner,"[22265, 38717]"
330,Amy Carter,[25457]
331,Amy Cotler,[3014]
332,Amy Dolnick,[7900]
333,Amy Goldman Koss,[35499]
334,Amy Gutmann,"[6197, 37861]"
335,Amy H. Sturgis,[7338]
336,Amy Hempel,"[4140, 33300]"
337,Amy Hill Hearth,[17118]
338,Amy Krouse Rosenthal,"[38528, 39872, 39876]"
339,Amy L. Clark,[46610]
340,Amy L. Marsland,[33174]
341,Amy Mandelker,"[155, 157]"
342,Amy Sedaris,"[4135, 10172, 28074, 44621]"
343,Amy Sickels,[28721]
344,Amy Sohn,[7454]
345,Amy Tan,"[7763, 7767, 9503, 9506, 12555, 12557, 35958, 35959, 35975, 35977]"
346,Amy Taubin,[28408]
347,Amy Welborn,[30938]
348,Ana Alcaina,"[37595, 45442, 45455]"
349,Ana Alcaina Pérez,[45463]
350,Ana Falcão Bastos,"[45615, 45616, 45617, 45623, 45624, 45625, 45626]"
351,Ana Juan,[10587]
352,Ana M. Cerro,[46196]
353,Ana María de la Fuente,"[3713, 14196]"
354,AnaLouise Keating,[45886]
355,Anaximander,[13425]
356,Anaximenes,[13425]
357,Anaïs Nin,"[11036, 11037, 11038, 11043, 11044, 18347, 18348, 18349, 18350, 18355, 18361, 18362, 18365, 18366, 18370, 46036, 46043, 46052, 46063, 46067, 46156]"
358,Anca Munteanu,[35246]
359,Ande Parks,[13194]
360,Anderson Cooper,[4338]
361,Andre Dubus,"[33880, 33883, 33888]"
362,Andre Dubus III,[15817]
363,Andre Duza,[8988]
364,Andre Norton,[29161]
365,Andrea Camilleri,"[30966, 30968, 30969]"
366,Andrea Juno,[23945]
367,Andrea Levy,"[44001, 44002]"
368,Andrea Lingenfelter,[29490]
369,Andrea Wilson Nightingale,[1595]
370,Andreas  Schwarz,[45]
371,Andreas Gursky,[30971]
372,Andreas J. Köstenberger,[10663]
373,Andreas Mayor,[18796]
374,Andreas Schwarz,[46084]
375,Andrei Codrescu,[24255]
376,Andrei Mihăilescu,[16570]
377,Andres Jullian,[37163]
378,Andrew      Hunt,[25841]
379,Andrew    Hunt,[10404]
380,Andrew Bender,[6865]
381,Andrew Brown,[24605]
382,Andrew Carnegie,[41506]
383,Andrew Cartmel,[10405]
384,Andrew Collins,[20258]
385,Andrew Darling,[27440]
386,Andrew Delbanco,[24692]
387,Andrew Dennis,"[35479, 35481]"
388,Andrew Edwin Jenkins,[29561]
389,Andrew Elfenbein,[19396]
390,Andrew Ford,[1374]
391,Andrew Glass,[3638]
392,Andrew Gross,"[13130, 13132, 13136, 13155, 13157, 21426]"
393,Andrew Gurr,"[33130, 33133]"
394,Andrew Heintzman,[30811]
395,Andrew Helfer,[31080]
396,Andrew Hurley,"[5787, 16568, 17961, 36553, 36555, 36556, 44045]"
397,Andrew Hussey,[29043]
398,Andrew J. Offutt,"[18338, 18341]"
399,Andrew James McLean,[25299]
400,Andrew Klavan,[32609]
401,Andrew Lang,"[23596, 32780]"
402,Andrew Leak,[28295]
403,Andrew M. Greeley,[29551]
404,Andrew McNeillie,"[14947, 18519, 18520, 46094]"
405,Andrew Moore,[28411]
406,Andrew O'Hagan,[8761]
407,Andrew P. Trout,[11861]
408,Andrew Pepoy,"[21324, 21327, 21341]"
409,Andrew R. MacAndrew,"[7135, 17876]"
410,Andrew Robert Burn,[1366]
411,Andrew S. Becker,[9462]
412,Andrew Scull,[37119]
413,Andrew Solomon,"[13932, 13933, 13934]"
414,Andrew Weil,[3065]
415,Andrew X. Pham,[4370]
416,Andrews,[32094]
417,André Maurois,"[14981, 17717]"
418,Andrés Amorós,[46171]
419,Andrés Duany,[13086]
420,Andy Crouch,[43979]
421,Andy Frankham,[20258]
422,Andy Gordon,[15867]
423,Andy Griffiths,"[38951, 38955]"
424,Andy Grundberg,[28639]
425,Andy Hertzfeld,[40492]
426,Andy Hunt,"[515, 4099]"
427,Andy Kubert,[15719]
428,Andy Mastrocinque,[17294]
429,Andy McNab,[22202]
430,Andy Russell,[20258]
431,Andy Wachowski,[5812]
432,Andy Warhol,[31818]
433,Anette M. Pedersen,[35479]
434,Angel M.Y. Lin,[37467]
435,Angela Barrett,[14117]
436,Angela Carter,[34523]
437,Angela J. Linn,[22885]
438,Angela Knight,"[57, 19908, 19909, 19910, 19911, 19912, 19913, 19914, 19916, 29489, 30279]"
439,Angela Scholar,[12649]
440,Angela Zeman,[43338]
441,Angelica Bustamante de Simon,[36439]
442,Angelo  Rinaldi,[93]
443,Angus Easson,[31171]
444,Angus Gellatly,[3283]
445,Angus Wells,"[27889, 27892]"
446,Anita Desai,"[35997, 36002, 36004, 36005]"
447,Anita Diamant,"[4989, 4995, 25719, 25721, 41329]"
448,Anita Hoffman,[30743]
449,Anita Jeram,[46189]
450,Anita Shreve,"[5191, 14959, 14960, 14962, 14964, 22180]"
451,Anita Thompson,[10879]
452,Anjali Singh,"[9517, 9526]"
453,Anjelica Huston,[45472]
454,Ann,"[5174, 7199]"
455,Ann  Douglas,[23492]
456,Ann  O'Leary,[22691]
457,Ann Abramson,[43073]
458,Ann Bausum,[39213]
459,Ann Beattie,"[19608, 19610]"
460,Ann Brashares,"[5451, 5452, 5453, 5454]"
461,Ann Charters,"[2552, 23929, 45536, 46955, 46970]"
462,Ann Coulter,[4042]
463,Ann Druyan,[17349]
464,Ann Dunnigan,[23784]
465,Ann Finding,[4991]
466,Ann Hewetson,[38803]
467,Ann Hodgman,[39339]
468,Ann M. Martin,"[38418, 38420, 38421, 38422, 38424, 38646, 39855, 39857, 39860, 40081, 42157, 46368]"
469,Ann Major,[12059]
470,Ann Margaret Lewis,[35407]
471,Ann Maxwell,"[36190, 36197]"
472,Ann McGovern,[20781]
473,Ann Packer,"[16059, 16063]"
474,Ann Page,[22460]
475,Ann Patchett,"[3686, 5826, 15957, 16055]"
476,Ann Rinaldi,"[18549, 18550, 18551]"
477,Ann Rule,"[15654, 18427]"
478,Ann Schweninger,[36606]
479,Ann Tashi Slater,[25260]
480,Ann Thompson,[42054]
481,Anna Adams,[38926]
482,Anna Austen Lefroy,[31669]
483,Anna Brailovsky,[12505]
484,Anna Deavere Smith,[23468]
485,Anna Hamilton Phelan,[6511]
486,Anna J.,[30859]
487,Anna J. Evans,[35061]
488,Anna Koska,[33919]
489,Anna Maxted,"[33723, 33768, 33771, 33773, 33774, 33775]"
490,Anna Moschovakis,[44158]
491,Anna Muria,[43356]
492,Anna Okabe,[17295]
493,Anna Paterson,[25884]
494,Anna Quindlen,"[5157, 38723, 46206]"
495,Anna Sewell,"[3685, 17468, 17473]"
496,Anna Tambour,[20001]
497,Annalee Allen,[24594]
498,Annalyn Swan,[2557]
499,Annamaria Biavasco,[6737]
500,Anne,"[7684, 12999]"
501,Anne   Born,"[25407, 26475, 29648]"
502,Anne Borchardt,[11168]
503,Anne Brault,[6076]
504,Anne Brontë,"[31174, 45076, 45092, 45093, 45098]"
505,Anne Carson,[1466]
506,Anne Chisholm,[3803]
507,Anne Collins,[46732]
508,Anne Dehne,[15273]
509,Anne Easter Smith,[21062]
510,Anne Fadiman,"[12609, 46890]"
511,Anne Frank,"[5511, 18984]"
512,Anne Hoppus,"[2144, 4106]"
513,Anne Hébert,[25949]
514,Anne K. Mellor,[18496]
515,Anne Lamott,"[10890, 12535, 12537, 12540, 12542]"
516,Anne Macdonald,[24497]
517,Anne Mazer,"[24307, 24308, 24309, 24312, 24315, 24316, 24328, 24330]"
518,Anne McCaffrey,"[20074, 20075, 20076, 24866, 24869, 24870, 24872, 24873, 28541, 28543, 28547, 28549, 28553, 32686, 43895, 47197]"
519,Anne McLean,[23859]
520,Anne Michaels,[15836]
521,Anne Millard,[8770]
522,Anne Moody,[5736]
523,Anne Morrow Lindbergh,[37624]
524,Anne Olivier Bell,"[14947, 18518, 18519, 18520, 46094]"
525,Anne Perry,[8921]
526,Anne Rademacher,[38259]
527,Anne Rampling,[43799]
528,Anne Rice,"[3683, 11901, 18750, 25190, 25347, 26581, 26583, 31331, 31332, 31333, 31335, 31336, 31337, 31338, 31340, 31341, 31342, 31343, 31344, 34778, 34779, 43758, 43759, 43763, 43777, 43779, 43780, 43781, 43782, 43792, 43796, 43798, 43799, 43801, 43803, 43805, 43808, 43812, 43814, 43817, 43818, 43819, 43821, 43824, 43826, 43837, 45640]"
529,Anne Stuart,"[24248, 30998, 33744, 33836, 36567, 36568, 36569, 36570, 36571, 36572, 36573, 36575]"
530,Anne Tyler,"[698, 15764, 15766, 31177, 31178, 31180, 31181, 31182, 40020, 40021]"
531,Anne Waldman,[3775]
532,Anne Yvonne Gilbert,[28530]
533,Annette Curtis Klause,[30324]
534,Annette Lavers,"[23054, 25002]"
535,Annette Meyers,[21703]
536,Annette Smith,[32649]
537,Annie Dillard,"[7695, 12526, 12527, 12528, 12530, 12532, 12533, 12534, 31253]"
538,Annie Kubler,[41557]
539,Annie Pietri,[46565]
540,Annie Proulx,"[1627, 1629, 7354, 27999, 28001, 28002, 28003, 28004, 30043]"
541,Annie Sparrow,[10895]
542,Annie West,[29125]
543,Anonymous,"[13358, 15521, 15529, 19350, 19351, 19352, 20749, 27204, 30851, 34200, 34207, 37976, 46799]"
544,Anri Itō,[7048]
545,Ansel Adams,"[20501, 20502, 20505]"
546,Anselm of Canterbury,[31938]
547,Anthea Bell,"[28194, 28195]"
548,Anthony  Lewis,[27404]
549,Anthony Bonner,[33507]
550,Anthony Boucher,[43594]
551,Anthony Bourdain,"[1709, 1710, 33313, 40139]"
552,Anthony Bower,[11990]
553,Anthony Briggs,"[18241, 18245]"
554,Anthony Browne,[9958]
555,Anthony Burgess,"[8809, 8810, 8811, 8812, 8813, 8814, 8818, 8820, 8822, 9660, 15640, 39058]"
556,Anthony Calderbank,[4315]
557,Anthony Cronin,"[22736, 42741]"
558,Anthony Curtis,[12950]
559,Anthony D. Pellegrini,[40264]
560,Anthony DeCurtis,[35581]
561,Anthony E. Wolf,"[25344, 25903]"
562,Anthony F.C. Wallace,[29526]
563,Anthony Garnaut,[19519]
564,Anthony Gerard,"[13570, 13574]"
565,Anthony Giddens,"[46409, 46412, 46423]"
566,Anthony Grafton,"[25005, 25012, 40635]"
567,Anthony H. Chambers,"[34462, 34472]"
568,Anthony Ham,[8693]
569,Anthony Heald,"[7674, 22077]"
570,Anthony Hern,[5824]
571,Anthony J. Cascardi,[29053]
572,Anthony Kenny,"[9462, 31894, 31896]"
573,Anthony Kerringan,[30713]
574,Anthony Kiedis,"[4300, 4301, 4303]"
575,Anthony Loyd,"[4360, 15820]"
576,Anthony M. Esolen,[34385]
577,Anthony Mcreavy,[16710]
578,Anthony Minghella,[11715]
579,Anthony Oldcorn,[19171]
580,Anthony Powell,"[16111, 16113, 16114, 16115]"
581,Anthony R. Ferris,[291]
582,Anthony Richard Birley,[25693]
583,Anthony Robbins,[8676]
584,Anthony S. Fauci,[30258]
585,Anthony Shadid,[4362]
586,Anthony Thorlby,"[160, 20323]"
587,Anthony Thwaite,[45259]
588,Anthony Tully,[34658]
589,Antoine de Saint,"[8840, 8848, 28865, 43246]"
590,Anton C. Pegis,[25708]
591,Anton Chekhov,"[5693, 5697, 14393, 23784, 23785, 23788, 23790, 23791, 44446]"
592,Anton Lesser,[44231]
593,Anton Myrer,"[41473, 41474]"
594,Antoni Cimolino,[8852]
595,Antonia Fraser,"[10079, 17149, 17151, 17155, 17156, 17157]"
596,Antonia Juhasz,[17153]
597,Antonin Artaud,[41495]
598,Antonina W. Bouis,[534]
599,Antonio Gramsci,"[3557, 43112]"
600,Antonio Hill,[16106]
601,Antonio Negri,"[26694, 26695, 26696]"
602,Antonio Polito,[43101]
603,Antonio Samons,[11071]
604,Antony Beevor,"[5005, 42661, 42662, 42665, 42666]"
605,Antony Johnston,[22559]
606,Antony Shugaar,[43959]
607,Anya Seton,"[33609, 36252, 36253, 36256]"
608,Apollodorus,"[27410, 27411, 27413, 27415, 27416]"
609,Apostolos N. Athanassakis,[27420]
610,April Jones Prince,[38746]
611,Aquino,[44133]
612,Archibald Colquhoun,[9810]
613,Archibald MacLeish,[18522]
614,Architecture For Humanity,[44131]
615,Ariel Levy,[18745]
616,Arielle Ford,[4066]
617,Arien Mack,[14168]
618,Aristophanes,"[1560, 1561, 1562, 1563, 1566, 1567, 1568, 1571, 1572, 1573, 1576, 1577, 1579, 1586, 1590, 1591, 1592, 2022, 2025, 2028, 2034, 3248]"
619,Aristotle,"[3232, 9438, 13270, 19067, 19068, 19070, 19072, 19082, 19083, 19088, 24346, 31938]"
620,Arkangel Cast,"[7010, 12964, 12999, 42606, 47025]"
621,Arlene Eisenberg,"[98, 6935, 19903]"
622,Arliss Howard,[10587]
623,Armand Marie Leroi,[32351]
624,Armistead Maupin,"[16255, 16256, 16257, 16259, 16263, 16265, 16267, 16268, 38273]"
625,Arnie Fenner,[45980]
626,Arnold Bennett,[4855]
627,Arnold Gingrich,[37390]
628,Arnold Goldman,[4670]
629,Arnold J. Pomerans,[5511]
630,Arnold Kotler,"[14572, 41464]"
631,Arnold Krupat,[47160]
632,Arnold Rampersad,"[15148, 15620, 15624]"
633,Arnon Grunberg,"[44089, 44094, 44095]"
634,Art Cooper,[36062]
635,Art Spiegelman,"[431, 7791, 15195, 15196, 15197, 15204, 15205, 17001, 19487]"
636,Art Spielman,[23832]
637,Art Thibert,[32950]
638,Artem Drabkin,[42652]
639,Artemis Cooper,[42662]
